,ratio,mean_pos_sim,mean_diff,method,reduction_rate
0,0.6255529129342728,0.8395290956256016,0.093303024931783,LocallyLinearEmbedding (768x2),384.0
0,0.6606837226877681,0.8512099982439348,0.10001683451900123,LocallyLinearEmbedding (768x4),192.0
0,0.6753873168996866,0.8315856585595374,0.11502256912713182,LocallyLinearEmbedding (768x8),96.0
0,0.6371779768387829,0.6981453971697167,0.11497862576354068,LocallyLinearEmbedding (128x2),64.0
0,0.6968370046011247,0.8177639400823669,0.12825011631694372,LocallyLinearEmbedding (768x16),48.0
0,0.7542288114872524,0.44622661422475957,0.18649242819498524,LocallyLinearEmbedding (64x2),32.0
0,0.7099513214341283,0.7812155180796208,0.15246719949402054,LocallyLinearEmbedding (768x32),24.0
0,0.7991175620707284,0.4354867986675134,0.1858415527898461,LocallyLinearEmbedding (64x4),16.0
0,0.7238880615261508,0.7487828005164653,0.1734925219719068,LocallyLinearEmbedding (768x64),12.0
0,0.8569316944141901,0.4475477338003847,0.17735283375882221,LocallyLinearEmbedding (16x2),8.0
0,0.7345906777212208,0.7170808166840684,0.19178205855172192,LocallyLinearEmbedding (768x128),6.0
0,0.8871168507857476,0.44761588599908275,0.17767656765181777,LocallyLinearEmbedding (16x4),4.0
0,0.9066771877570072,0.43196386010967913,0.17569972866279127,LocallyLinearEmbedding (16x8),2.0
