,ratio,mean_pos_sim,mean_diff,method,reduction_rate
0,0.5528289934318008,0.38538099738651643,0.10632742190284156,PCA (768x2),384.0
0,0.6039075784349681,0.583071224366288,0.12212448109497231,PCA (768x4),192.0
0,0.6796585870036341,0.6861047126406887,0.15301848135464835,PCA (768x8),96.0
0,0.8220584803120728,0.7409962640593748,0.2027932012295378,PCA (128x2),64.0
0,0.7716800586803587,0.7421862983655662,0.16807986270767572,PCA (768x16),48.0
0,0.8820391424665756,0.7256957919139977,0.2237198368026937,PCA (64x2),32.0
0,0.8752375554296002,0.7661043660220334,0.18717253727384042,PCA (768x32),24.0
0,0.9232820991564699,0.7320200570739313,0.2218759125398806,PCA (64x4),16.0
0,0.9350848531323975,0.7736788156778601,0.2043158924725531,PCA (768x64),12.0
0,0.94638749041443,0.7346675037715532,0.22379084166808194,PCA (64x8),8.0
0,0.958123562164505,0.7665227327840947,0.21744790221424148,PCA (768x128),6.0
0,0.958790384423032,0.735532963077399,0.22653970108283528,PCA (16x4),4.0
0,0.9656919947987864,0.7363145502482307,0.22603759400724432,PCA (64x32),2.0
