,ratio,mean_pos_sim,mean_diff,method,reduction_rate
0,0.5508791037809242,0.6680349,0.04076618,UMAP (768x2),384.0
0,0.6320878436951255,0.9117606,0.057221174,UMAP (768x4),192.0
0,0.6511036031029808,0.9571586,0.033607185,UMAP (768x8),96.0
0,0.5444997666096156,0.8465009,0.028204083,UMAP (128x2),64.0
0,0.6533930516348441,0.968231,0.02458769,UMAP (768x16),48.0
0,0.6441241192291449,0.95498246,0.030881941,UMAP (128x4),32.0
0,0.6504701149169797,0.97580606,0.01770389,UMAP (768x32),24.0
0,0.6735646491364555,0.96591604,0.033694744,UMAP (128x8),16.0
0,0.614294605347974,0.82494855,0.034135282,UMAP (768x64),12.0
0,0.8851163617773233,0.6296626,0.16897324,UMAP (32x4),8.0
0,0.6157171753095201,0.8208464,0.03732896,UMAP (768x128),6.0
0,0.8978972637755895,0.6509914,0.17558447,UMAP (32x8),4.0
0,0.9340060903776479,0.6768874,0.1843243,UMAP (32x16),2.0
