Dimensions	Reduction	Total query time [s]	Storage [bytes]	index_time_in_millis	MAP	DCG mean	DCG std	Recall mean	Recall std	Algo
768	1	244	1133853641	73065	0.196	0.160 	0.209	0.562	0.37	Averaging
384	2	104	649074829	41110	0.183	0.150	0.200	0.513	0.39	Averaging
192	4	72	404021124	39625	0.175	0.146	0.201	0.498	0.39	Averaging
96	8	55	280812932	26383	0.145	0.123	0.18	0.407	0.38	Averaging
64	12	53	239288882	30605	0.135	0.114	0.165	0.403	0.34	Averaging
48	16	46	218180801	23571	0.118	0.101	0.163	0.337	0.34	Averaging
32	24	42	196749732	27998	0.098	0.086	0.145	0.282	0.31	Averaging
24	32	47	185842895	22015	0.088	0.079	0.134	0.252	0.29	Averaging
16	48	47	174866371	26870	0.074	0.069	0.131	0.202	0.25	Averaging
12	64	43	169267509	21657	0.059	0.055	0.118	0.162	0.20	Averaging
8	96	43	163341549	26915	0.058	0.057	0.117	0.134	0.17	Averaging
6	128	42	160116487	21177	0.045	0.044	0.112	0.086	0.14	Averaging
4	192	43	156889960	25565	0.044	0.042	0.098	0.079	0.014	Averaging
