,Unnamed: 0,ratio,mean_pos_sim,mean_diff,method,reduction_rate,Unnamed: 0.1
0,0,0.0,1.0,0.0,Autoencoder (768x1),768.0,0.0
0,0,0.1411662721301637,0.730870536458507,0.1358983762878004,Whitening (768x1),768.0,
0,0,0.1435668322608608,0.7329376854599406,0.1370986563531491,PCA (768x1),768.0,
0,0,0.1631047244357016,0.39959323,0.02377221,UMAP (768x1),768.0,
1,0,0.5613309772280198,0.66262543,0.06846869,UMAP (768x2),384.0,
0,0,0.5844030273730537,0.5623289169396232,0.1834645880306071,Average parts (384),384.0,
1,0,0.5931383989597573,0.5954628523404909,0.1344966416357123,PCA (384x1),384.0,
1,0,0.611643,0.775704,0.128468,Autoencoder (768x2),384.0,0.0
1,0,0.6138432300870204,0.813950782307024,0.1276738482763347,Whitening (768x2),384.0,
0,0,0.6255529129342728,0.8395290956256016,0.093303024931783,LocallyLinearEmbedding (768x2),384.0,
0,0,0.6382155836361818,0.8363604,0.14595336,Siamese network (768x2),384.0,
2,0,0.6343480145367253,0.9194073,0.053777993,UMAP (768x4),192.0,
2,0,0.65782,0.814936,0.134418,Autoencoder (768x4),192.0,0.0
1,0,0.6606837226877681,0.8512099982439348,0.1000168345190012,LocallyLinearEmbedding (768x4),192.0,
1,0,0.6795252225519288,0.6765378832267097,0.2160301858630254,Average parts (192),192.0,
2,0,0.6831927449738272,0.8402126318257922,0.1303920730630475,Whitening (768x4),192.0,
2,0,0.6857600106691562,0.6997546178803477,0.1765247354904547,PCA (192x1),192.0,
1,0,0.7386390157703464,0.8371883,0.17862135,Siamese network (768x4),192.0,
3,0,0.6512519587903844,0.9400091,0.047468543,UMAP (768x6),128.0,
3,0,0.692262,0.839392,0.120364,Autoencoder (768x6),128.0,0.0
3,0,0.7215016837262028,0.8382521189204533,0.1371151641928244,Whitening (768x6),128.0,
2,0,0.743273430467109,0.7053213672023193,0.226744478250905,Average parts (128),128.0,
3,0,0.7433067715800353,0.7026445163996048,0.1979605589245586,PCA (128x1),128.0,
2,0,0.7880505451271963,0.797722,0.22322649,Siamese network (768x6),128.0,
4,0,0.6585203214083286,0.9888643,0.013692081,UMAP (384x4),96.0,
4,0,0.663388,0.845694,0.095405,Autoencoder (384x4),96.0,0.0
2,0,0.6753873168996866,0.8315856585595374,0.1150225691271318,LocallyLinearEmbedding (768x8),96.0,
4,0,0.7558096889274164,0.8380177145538451,0.1443309403898258,Whitening (768x8),96.0,
4,0,0.7761477678124896,0.7174978385380282,0.2047944664008029,PCA (96x1),96.0,
3,0,0.777814823458807,0.7072223132209993,0.2316693975403488,Average parts (96),96.0,
3,0,0.8184242990031008,0.7850021,0.22898304,Siamese network (768x8),96.0,
3,0,0.6371779768387829,0.6981453971697167,0.1149786257635406,LocallyLinearEmbedding (128x2),64.0,
5,0,0.6757243356783249,0.9901178,0.014471412,UMAP (384x6),64.0,
5,0,0.751016915245949,0.9615564,0.027460754,Autoencoder,64.0,0.0
5,0,0.7992198179575234,0.8305369407747901,0.1538627310504829,Whitening (768x12),64.0,
4,0,0.8226586203447471,0.7176994529909002,0.2332958768231277,Average parts (64),64.0,
5,0,0.8233921248291268,0.7058683466758174,0.224479623370029,PCA (64x1),64.0,
4,0,0.8560664154969493,0.76769555,0.24199301,Siamese network (768x12),64.0,
6,0,0.6781248958090221,0.9909484,0.013831854,UMAP (384x8),48.0,
4,0,0.6968370046011247,0.8177639400823669,0.1282501163169437,LocallyLinearEmbedding (768x16),48.0,
6,0,0.739539,0.874637,0.085899,Autoencoder (384x8),48.0,0.0
6,0,0.8284933151068583,0.8230028452099262,0.1619342494299551,Whitening (768x16),48.0,
6,0,0.837728803387457,0.7078617247263345,0.2127315487768215,PCA (96x2),48.0,
5,0,0.854699429866969,0.7254807010401285,0.2329903206868671,Average parts (48),48.0,
5,0,0.8763044710432434,0.7549858,0.24823064,Siamese network (768x16),48.0,
7,0,0.6761911112592939,0.98971325,0.014081776,UMAP (384x12),32.0,
5,0,0.7542288114872524,0.4462266142247595,0.1864924281949852,LocallyLinearEmbedding (64x2),32.0,
7,0,0.8379270488341595,0.9602467,0.02749896,Autoencoder,32.0,0.0
6,0,0.8418964425032508,0.68419355,0.21223527,Siamese network (128x4),32.0,
7,0,0.8521321641716401,0.7875306131866988,0.1806149261840368,Whitening (384x12),32.0,
7,0,0.8841729736938619,0.7301900755073436,0.221407001992233,PCA (64x2),32.0,
6,0,0.8842396559197147,0.7318065305103508,0.2323720378407573,Average parts (32),32.0,
8,0,0.6815923715533625,0.9922225,0.022850871,UMAP (192x8),24.0,
6,0,0.7099513214341283,0.7812155180796208,0.1524671994940205,LocallyLinearEmbedding (768x32),24.0,
