,ratio,mean_pos_sim,mean_diff,method,reduction_rate
0,0.09745607308371954,-0.32911012569599574,-0.03227419731270631,PCA (768x1),768.0
0,0.5231220618144233,0.9502197169717569,0.005821375407431217,PCA (384x1),384.0
0,0.5576634548061215,0.8429637597356155,0.019809329345603865,PCA (192x1),192.0
0,0.5661320974894142,0.71183262496842,0.03687051591920254,PCA (128x1),128.0
0,0.5819691261294302,0.692383777595635,0.04132779001296372,PCA (96x1),96.0
0,0.6048744707098322,0.44971113713800215,0.05945878256565612,PCA (768x12),64.0
0,0.6240122695295569,0.4624141741907288,0.06672698646604264,PCA (768x16),48.0
0,0.6252125495949055,0.5299930654671335,0.0634100033316437,PCA (32x1),32.0
0,0.6641549694928817,0.4750447006305654,0.07998789117989952,PCA (768x32),24.0
0,0.6594538725702664,0.5318111234840478,0.06750967983374245,PCA (32x2),16.0
0,0.6933284433034375,0.4701124455176262,0.08561087451772004,PCA (768x64),12.0
0,0.7050645150535125,0.4627283061813915,0.08673191325008173,PCA (768x96),8.0
0,0.7094988830727169,0.45540166479945976,0.08675502266036605,PCA (768x128),6.0
0,0.6989964325009169,0.4755420623282136,0.07497216500964576,PCA (8x2),4.0
0,0.7056313139732604,0.4752172318818229,0.0746867123286783,PCA (12x4),3.0
0,0.7105991397992865,0.469081792587261,0.07646686025888988,PCA (16x8),2.0
