,ratio,mean_pos_sim,mean_diff,method,reduction_rate
0,0.506584869802954,0.087602556,0.0057362914,Autoencoder (768x2),384.0
0,0.5342246524188977,0.4582355,0.027082205,Autoencoder (768x4),192.0
0,0.5557963524822459,0.55325466,0.03714323,Autoencoder (768x6),128.0
0,0.5728003200746841,0.4952466,0.043684155,Autoencoder (768x8),96.0
0,0.5942719967992531,0.5166167,0.05072379,Autoencoder (768x12),64.0
0,0.6101090254392691,0.52381325,0.059673518,Autoencoder (768x16),48.0
0,0.5356916613876571,0.8221285,0.006209314,Autoencoder (128x4),32.0
0,0.6257793485146534,0.4357997,0.060890943,Autoencoder (768x32),24.0
0,0.591971460007335,0.85485286,0.011522353,Autoencoder (128x8),16.0
0,0.6541192945020505,0.44625136,0.06838846,Autoencoder (768x64),12.0
0,0.6519521221618377,0.42256963,0.0675323,Autoencoder (768x96),8.0
0,0.6561531023905578,0.6293365,0.04197246,Autoencoder (96x16),6.0
0,0.6579535224885806,0.6546951,0.042635977,Autoencoder (128x32),4.0
0,0.6804254326009402,0.5524296,0.05765602,Autoencoder (96x32),3.0
0,0.6908278598339612,0.35994813,0.061154395,Autoencoder (32x16),2.0
