,Unnamed: 0,ratio,mean_pos_sim,mean_diff,method,reduction_rate
0,0,0.0105691327976527,-0.0967225685993398,-0.011736071750075,Whitening (768x1),768.0
0,0,0.0974560730837195,-0.3291101256959957,-0.0322741973127063,PCA (768x1),768.0
0,0,0.506584869802954,0.087602556,0.0057362914,Autoencoder (768x2),384.0
1,0,0.5174207315040176,0.2610778653364467,0.0133787735276171,Whitening (768x2),384.0
1,0,0.5231220618144233,0.9502197169717568,0.0058213754074312,PCA (384x1),384.0
0,0,0.5277231353982595,0.7593689468314286,0.0315869493672662,Average parts (384),384.0
0,0,0.5435268229253493,0.024498012,0.006057881,Siamese network (768x2),384.0
1,0,0.5342246524188977,0.4582355,0.027082205,Autoencoder (768x4),192.0
2,0,0.5479611909445538,0.4517535448381083,0.0352008870288154,Whitening (768x4),192.0
1,0,0.5489614243323442,0.5582707130846362,0.0553036704296014,Average parts (192),192.0
2,0,0.5576634548061215,0.8429637597356155,0.0198093293456038,PCA (192x1),192.0
1,0,0.5895708998766379,0.0700349,0.020345293,Siamese network (768x4),192.0
2,0,0.5557963524822459,0.55325466,0.03714323,Autoencoder (768x6),128.0
2,0,0.5641649718267596,0.4629890194342262,0.0632653673343369,Average parts (128),128.0
3,0,0.5661320974894142,0.71183262496842,0.0368705159192025,PCA (128x1),128.0
3,0,0.5808688694028606,0.5017981230464016,0.0541930449479096,Whitening (768x6),128.0
2,0,0.6065415263561498,0.13459562,0.02958028,Siamese network (768x6),128.0
3,0,0.5728003200746841,0.4952466,0.043684155,Autoencoder (768x8),96.0
3,0,0.5791017904177641,0.451061977120737,0.0701581503547357,Average parts (96),96.0
4,0,0.5819691261294302,0.692383777595635,0.0413277900129637,PCA (96x1),96.0
4,0,0.6008735371586703,0.5135757220249529,0.0665010116312002,Whitening (768x8),96.0
3,0,0.6291801420331411,0.13349457,0.038001724,Siamese network (768x8),96.0
4,0,0.5942719967992531,0.5166167,0.05072379,Autoencoder (768x12),64.0
