,ratio,mean_pos_sim,mean_diff,method,reduction_rate
0,0.010569132797652786,-0.09672256859933985,-0.011736071750075017,Whitening (768x1),768.0
0,0.5174207315040176,0.2610778653364467,0.0133787735276171,Whitening (768x2),384.0
0,0.5479611909445538,0.45175354483810837,0.03520088702881541,Whitening (768x4),192.0
0,0.5808688694028606,0.5017981230464016,0.05419304494790966,Whitening (768x6),128.0
0,0.6008735371586703,0.5135757220249529,0.0665010116312002,Whitening (768x8),96.0
0,0.6319807955189545,0.5323731981321005,0.07835020538067611,Whitening (768x12),64.0
0,0.6546527523088721,0.5285189165425969,0.08506482240981589,Whitening (768x16),48.0
0,0.6184443036708566,0.5224226740930678,0.0619650879528042,Whitening (384x12),32.0
0,0.6850931884106292,0.5150428381755198,0.09167321462524014,Whitening (768x32),24.0
0,0.6128763378121562,0.5127977368567199,0.0512949477711071,Whitening (128x8),16.0
0,0.7076317807488414,0.48440103540590557,0.09265125895812021,Whitening (768x64),12.0
0,0.7158336945287234,0.45638589182517336,0.0903327061898217,Whitening (768x96),8.0
0,0.7161671056579869,0.42743753930162987,0.08798929678576134,Whitening (768x128),6.0
0,0.7127996532524256,0.4725435846457796,0.08928829448640402,Whitening (384x96),4.0
0,0.7179341846430833,0.454362740327885,0.0886970410365624,Whitening (384x128),3.0
0,0.7097656119761278,0.46642994570744534,0.07809593981793578,Whitening (64x32),2.0
